,segment,ax_mean,ax_std,ax_rms,ax_peak,ax_p2p,ax_crest,ay_mean,ay_std,ay_rms,ay_peak,ay_p2p,ay_crest,az_mean,az_std,az_rms,az_peak,az_p2p,az_crest,acc_mag_rms,acc_mag_std,acc_mag_peak,acc_mag_p2p,acs_mean,acs_std,acs_rms,acs_min,acs_max,acs_p2p,rpm_mean,rpm_median,rpm_std,rpm_min,rpm_max,rpm_p2p,rpm_cv_percent,rpm_slope_rpm_per_s,dominant_frequency_Hz,dominant_amplitude,spectral_energy,spectral_centroid_Hz
ay_peak,0.12330399539997727,0.15032872166742445,0.42648315303141376,0.42648315303141376,0.5428228312433532,0.520791926597982,0.16885958777221816,-0.2717813702806141,0.9016010903977709,0.9016010903977709,1.0,0.9678093466740555,0.6596121926520965,-0.07206431963975359,0.7448977565315255,0.7448977565315255,0.6721182120995981,0.6824413284654179,-0.34268974296895344,0.6113905831399142,0.292798073540308,0.5540058420385717,0.14580877550590973,-0.378891320712799,-0.2575983582814334,-0.37888191713762737,-0.37462821300052546,-0.35174907732229266,-0.2192400998917912,0.6550596373763086,0.6064574610023502,-0.03932177626287061,0.5859381058740436,0.5813568425282937,-0.037480989833546856,-0.0892782389854558,-0.057209213353782325,0.48394222971516054,0.27300577810524684,0.3238997146004553,0.23144649671581846
ay_p2p,0.11714092669513959,0.1581361928290363,0.28591653987274224,0.28591653987274224,0.4220554975092601,0.39513822056461895,0.2316207580275054,-0.36878880395597224,0.9038917854797166,0.9038917854797166,0.9678093466740555,1.0,0.5670245516287549,-0.16436509451832934,0.6639645988578019,0.6639645988578019,0.5948097473929743,0.603208695909389,-0.3298567999711782,0.4970663203641833,0.3166273799297313,0.45258927783701647,0.18916473198093595,-0.40253875943083794,-0.2812184751556632,-0.40254812962353054,-0.39811674678469167,-0.38150384505186075,-0.24872608562160903,0.5612973002565833,0.5126200716872262,-0.06421545340555712,0.49545970677589496,0.49240601192080796,-0.06082180229190004,-0.10787973036832417,-0.043418379334706214,0.42813665528783507,0.26171616200735626,0.3476848617386274,0.24995986359491215
ay_crest,0.10510795274328333,0.14058603123408356,0.23721261614386058,0.23721261614386058,0.32519164343339313,0.321752071511395,0.055010742760384056,0.09301206340412142,0.3743360266220622,0.3743360266220622,0.6596121926520965,0.5670245516287549,1.0,0.09202023782679769,0.36197274860167017,0.36197274860167017,0.3840518764511474,0.4054656123300739,-0.008928736271971235,0.31733823128712024,0.19782940584119474,0.3557880257961694,0.1939722027363087,-0.10452960708005049,-0.03216996460827551,-0.10452105622152545,-0.10458580579763674,-0.07971375596262642,-0.011975791074723128,0.28267445056912616,0.233962547900565,0.08527914098550465,0.20547555688028074,0.30076679889435637,0.0909571485598589,0.05401305771647417,-0.05030469644422411,0.1393952388157183,0.06653615561204657,0.15448083788720543,-0.08189572708516363
az_mean,0.054163081913265396,-0.14944484964515525,0.30554581455825175,0.30554581455825175,0.1881767857900189,0.19861567725765467,-0.4266169093937764,0.047331622633142986,-0.16767576814595622,-0.16767576814595622,-0.07206431963975359,-0.16436509451832934,0.09202023782679769,1.0,0.016131991815177195,0.016131991815177195,-0.056865374109640175,-0.030720486018061405,0.06572866548168975,0.20700875799554982,0.002577119028033396,0.10710130712779149,0.0390141563170145,-0.09648909850919624,-0.0639824917821557,-0.09649578560567983,-0.0992483015810421,-0.06639038710867354,-0.06870554267740504,0.1347277933353237,0.12707898148527824,0.17326997444027478,0.10557734010109124,0.17444376716969057,0.1840643631766304,0.15895705235523608,-0.01285045734146105,0.09379032176689676,0.07928597708736707,0.04377862682927137,-0.08873873694562333
az_std,0.15309773821494224,0.08196124063613353,0.7978457156919173,0.7978457156919173,0.8749383408901771,0.8585185718286689,-0.025120018760225064,-0.05736177724001046,0.7858075865986829,0.7858075865986829,0.7448977565315255,0.6639645988578019,0.36197274860167017,0.016131991815177195,1.0,1.0,0.8906307875749843,0.892128544490819,-0.44752789934470627,0.9270052483105572,0.25025634468376934,0.8240199221507633,-0.06595309658868817,-0.38960785926299335,-0.2750987488871085,-0.38959048031448856,-0.3847624444246901,-0.36164146530268415,-0.23872290739542562,0.9069947760373168,0.8688125269725346,-0.07972004567188187,0.8425388142946828,0.8096907940546972,-0.08018905703631848,-0.14156931615340893,-0.07185898786317602,0.7594588353072195,0.39271230237608645,0.3637258761546193,0.39682775150258764
az_rms,0.15309773821494224,0.08196124063613353,0.7978457156919173,0.7978457156919173,0.8749383408901771,0.8585185718286689,-0.025120018760225064,-0.05736177724001046,0.7858075865986829,0.7858075865986829,0.7448977565315255,0.6639645988578019,0.36197274860167017,0.016131991815177195,1.0,1.0,0.8906307875749843,0.892128544490819,-0.44752789934470627,0.9270052483105572,0.25025634468376934,0.8240199221507633,-0.06595309658868817,-0.38960785926299335,-0.2750987488871085,-0.38959048031448856,-0.3847624444246901,-0.36164146530268415,-0.23872290739542562,0.9069947760373168,0.8688125269725346,-0.07972004567188187,0.8425388142946828,0.8096907940546972,-0.08018905703631848,-0.14156931615340893,-0.07185898786317602,0.7594588353072195,0.39271230237608645,0.3637258761546193,0.39682775150258764
az_peak,0.16886494314215536,0.07071672170866262,0.670331223264872,0.670331223264872,0.7847221712735344,0.7728151923672103,0.05091629569079447,-0.050100735969584614,0.6819930621458523,0.6819930621458523,0.6721182120995981,0.5948097473929743,0.3840518764511474,-0.056865374109640175,0.8906307875749843,0.8906307875749843,1.0,0.9932850445386298,-0.1741880232592607,0.8139912585757392,0.3658019355269908,0.942874069274969,0.11981606282998457,-0.28506496969143075,-0.18549858555748402,-0.2850995230100981,-0.2834087217400709,-0.2609846999614388,-0.16041359650924583,0.7442474989882598,0.6948079884207656,0.008892940059807087,0.6608367931735001,0.7119400561198388,0.0026886081876451697,-0.04235531712555019,-0.053028137838313505,0.5936395262694499,0.2733828476644624,0.40550857481869235,0.18275183703500297
az_p2p,0.1719516234372757,0.0726027416081315,0.6879695129623551,0.6879695129623551,0.795160168461535,0.7839213824298471,0.007168098775205085,-0.05628129045046738,0.6822512282376174,0.6822512282376174,0.6824413284654179,0.603208695909389,0.4054656123300739,-0.030720486018061405,0.892128544490819,0.892128544490819,0.9932850445386298,1.0,-0.20009728939313776,0.8279164767792062,0.39461029473457127,0.9534627386354294,0.14970333480477915,-0.32621342721206037,-0.2215596629634179,-0.32624075956352194,-0.3240345807018071,-0.30099115631837364,-0.195732748010478,0.7594153595985625,0.7098559829952881,0.010553629642537317,0.6736497881684789,0.724271220373292,0.0039936197058073825,-0.04337937375643824,-0.05842571776659431,0.6098644502157864,0.2908346106115846,0.4334714506611278,0.193648527998747
az_crest,0.07414027169240262,-0.07079348738566288,-0.39088747490267634,-0.39088747490267634,-0.34009935491302073,-0.3308194864623852,0.16969711701553328,0.1015841678190924,-0.45752974263464047,-0.45752974263464047,-0.34268974296895344,-0.3298567999711782,-0.008928736271971235,0.06572866548168975,-0.44752789934470627,-0.44752789934470627,-0.1741880232592607,-0.20009728939313776,1.0,-0.39235331904118503,0.17033892267537126,-0.12026929339916503,0.3919987564847378,0.3963135556721192,0.32155418365929983,0.3962240263477321,0.3902285331406705,0.3912559503052084,0.3083486358995834,-0.545254151897034,-0.593363585977814,0.23494400432392443,-0.6282658042425363,-0.3986936559806268,0.22451518360186634,0.2767058353012516,0.0618163632279272,-0.5261687444591638,-0.24102277625370658,-0.017113438061978025,-0.6174559986752176
acc_mag_rms,0.16364294202377155,0.031127353314193005,0.9342611432036336,0.9342611432036336,0.9365630116396007,0.9336473394580738,-0.24992610312732855,-0.04515786223623506,0.6618398753195356,0.6618398753195356,0.6113905831399142,0.4970663203641833,0.31733823128712024,0.20700875799554982,0.9270052483105572,0.9270052483105572,0.8139912585757392,0.8279164767792062,-0.39235331904118503,1.0,0.29649056569597926,0.8501183169620754,-0.03063090205836551,-0.41824735650033257,-0.2901261842349282,-0.4182052789684542,-0.41707795430231326,-0.3837030273389644,-0.25625863973886337,0.9346845570330272,0.8976201484881535,-0.044900812109095356,0.858272557358959,0.837931635025742,-0.043624709941956115,-0.11046356336618872,-0.08049030921020683,0.7930249940669011,0.4560183604469485,0.42090865889679246,0.37617630666453716
