feature,fault_id,healthy_median,fault_median,robust_effect,abs_robust_effect
ax_peak,F1,4.082181500000001,4.141813,0.08378617429418159,0.08378617429418159
rpm_slope_rpm_per_s,F1,0.6212690317262956,0.7347078676959173,0.06990345108004,0.06990345108004
rpm_max,F1,2913.75,2918.0,0.05094090854608664,0.05094090854608664
acc_mag_rms,F1,3.425658377832428,3.419869074337716,-0.010815317817182432,0.010815317817182432
segment,F1,0.0,0.0,0.0,0.0
ax_crest,F2,1.5798607830966114,1.3692338871769332,-11.531510119806303,11.531510119806303
az_mean,F2,10.812233499999998,10.88390375,6.551211151736042,6.551211151736042
spectral_energy,F2,5377.151765203438,7275.296089407987,2.75825811780269,2.75825811780269
acc_mag_p2p,F2,2.974917414660128,3.6932070685712572,2.7116504869404023,2.7116504869404023
dominant_amplitude,F2,51.24126726776498,58.624116142177854,2.688245228327462,2.688245228327462
acc_mag_std,F2,0.8400849782881068,0.9849807035521618,2.6363042450448875,2.6363042450448875
rpm_cv_percent,F2,0.028725944249811,0.0457267188442344,1.8762272124373682,1.8762272124373682
rpm_std,F2,0.8390491269884461,1.2933212846598323,1.7188041413216557,1.7188041413216557
rpm_p2p,F2,3.269999999999982,4.75,1.7011494252867014,1.7011494252867014
ay_p2p,F2,5.5821000000000005,5.2954,-1.469502819067141,1.469502819067141
ay_peak,F2,3.1911555,2.9892650000000005,-1.2679533114984696,1.2679533114984696
ay_std,F2,1.8046964936808627,1.7136164099937847,-1.1501722387321882,1.1501722387321882
ay_rms,F2,1.8046964936808627,1.7136164099937847,-1.1501722387321882,1.1501722387321882
acs_min,F2,1429.0,1365.0,-1.1428571428571428,1.1428571428571428
ax_std,F2,2.570335263824352,3.080621303482233,1.137612435085284,1.137612435085284
ax_rms,F2,2.570335263824352,3.080621303482233,1.137612435085284,1.137612435085284
acs_mean,F2,1447.08,1379.1325000000002,-1.1169146050793084,1.1169146050793084
acs_rms,F2,1447.112818684155,1379.1431851588168,-1.1155407087359661,1.1155407087359661
az_crest,F2,1.5943036926464842,1.6651778479833115,1.1132214736977157,1.1132214736977157
acs_max,F2,1477.0,1397.0,-0.9090909090909091,0.9090909090909091
ay_crest,F2,1.7657091881655558,1.742968026404412,-0.7983326437905635,0.7983326437905635
acs_std,F2,9.253916738333018,5.984283926331848,-0.7162721792734008,0.7162721792734008
ay_mean,F2,1.5316900000000002,1.52189625,-0.6273822106915221,0.6273822106915221
acc_mag_peak,F2,4.538930574523173,4.93388283370876,0.6031897985258916,0.6031897985258916
az_rms,F2,1.37645485416622,1.1452705357779762,-0.5681384372437936,0.5681384372437936
az_std,F2,1.3764548541662198,1.1452705357779762,-0.5681384372437934,0.5681384372437934
az_peak,F2,2.333553000000002,1.9356667499999993,-0.5618735366635553,0.5618735366635553
ax_mean,F2,-0.926533,-0.9334812499999999,-0.5581596176246048,0.5581596176246048
acc_mag_rms,F2,3.425658377832428,3.711147702887367,0.5333383863365125,0.5333383863365125
acs_p2p,F2,47.0,38.0,-0.5294117647058824,0.5294117647058824
dominant_frequency_Hz,F2,97.0,98.0,0.5,0.5
az_p2p,F2,4.398199999999999,3.8421000000000003,-0.4308848597551521,0.4308848597551521
rpm_slope_rpm_per_s,F2,0.6212690317262956,-0.03360984024577225,-0.40355044900593273,0.40355044900593273
rpm_max,F2,2913.75,2947.1000000000004,0.39973630588517833,0.39973630588517833
rpm_median,F2,2910.93,2943.56,0.3962837017245595,0.3962837017245595
