rms_current,kurtosis_current,mean_speed,std_speed,spectral_entropy_current,peak_frequency_current,motor_id,condition,fault_type
3.2953919906689593,2.6475319372055153,21457.461572265627,483.5510649921553,0.4233230766986105,0.0,MOTOR_BLDC_001,Healthy,None
3.3605122824116322,2.886093136425445,21542.034384765626,521.0252428477746,0.394243817190829,0.0,MOTOR_BLDC_001,Healthy,None
3.3710742989423452,2.722363590642851,21410.604287109374,525.3724228804933,0.3990557921984083,0.0,MOTOR_BLDC_001,Healthy,None
3.259527661010775,2.6778721937936143,21472.77427734375,522.0993503121343,0.43633389255799027,0.0,MOTOR_BLDC_001,Healthy,None
3.3353424554323223,2.798368280318623,21420.62087890625,520.2713390273292,0.40148388760215875,0.0,MOTOR_BLDC_001,Healthy,None
3.2768525358830614,2.6543167088474773,21522.379599609376,478.33532572767393,0.44402050658499514,0.0,MOTOR_BLDC_001,Healthy,None
3.3239565458105704,2.672405832277274,21521.01912109375,468.006273876643,0.42043215716341586,0.0,MOTOR_BLDC_001,Healthy,None
3.3415954952230247,2.5803126805847745,21571.610693359376,439.5118409274513,0.413435214516262,0.0,MOTOR_BLDC_001,Healthy,None
3.3194429140588295,2.7865755875539344,21699.83287109375,450.57100879588637,0.4308216390966052,0.0,MOTOR_BLDC_001,Healthy,None
3.321485249276105,2.740447223074259,21770.851142578125,455.85353367461784,0.3990855181277645,0.0,MOTOR_BLDC_001,Healthy,None
3.227037238629247,2.660791198213241,21750.874394531253,475.3052684262758,0.4454415106956036,0.0,MOTOR_BLDC_001,Healthy,None
3.3094622300599688,2.67414903259989,21768.104902343748,485.7607092501023,0.4051995676956331,0.0,MOTOR_BLDC_001,Healthy,None
3.2902658847920256,2.5524629218550445,21796.61431640625,512.1688983246213,0.4107650349136486,0.0,MOTOR_BLDC_001,Healthy,None
3.3500864552728524,2.7055057955716157,21836.249003906247,520.7489108007618,0.4204508584820858,0.0,MOTOR_BLDC_001,Healthy,None
3.3542475524529434,2.794562478301472,21892.279658203122,516.563573948313,0.3981200928994242,0.0,MOTOR_BLDC_001,Healthy,None
3.3171549997315095,2.5675715205825127,21890.29779296875,504.79695901623955,0.37567859470029363,0.0,MOTOR_BLDC_001,Healthy,None
3.2453682420462413,2.569712405312524,21826.13107421875,528.7206595701249,0.394286629977714,0.0,MOTOR_BLDC_001,Healthy,None
3.375749999620686,2.610617393757537,21825.91763671875,476.39677941767417,0.4029284795630725,0.0,MOTOR_BLDC_001,Healthy,None
3.313454096179714,2.7453645917472818,21766.73388671875,441.73520677551915,0.4229396254559538,0.0,MOTOR_BLDC_001,Healthy,None
3.2816006002646123,2.6659643233035015,21742.805341796877,440.1218942505716,0.3704322730039009,0.0,MOTOR_BLDC_001,Healthy,None
3.3696645987454468,2.58793784737967,21708.619912109374,428.5542612293844,0.4164141333420771,0.0,MOTOR_BLDC_001,Healthy,None
3.303568536684497,2.6113339598654592,21656.52615234375,413.8373036982842,0.368228090602597,0.0,MOTOR_BLDC_001,Healthy,None
3.4203112339227077,2.7528929482848192,21612.213984374997,425.19916631767967,0.4016307628606103,0.0,MOTOR_BLDC_001,Healthy,None
3.2219581879755497,2.5778598495259555,21608.814931640627,448.96999013583695,0.426665724342531,0.0,MOTOR_BLDC_001,Healthy,None
3.378883249759,2.730670171151874,21534.701494140623,480.45290450824024,0.4217280545682781,0.0,MOTOR_BLDC_001,Healthy,None
3.364240486933975,2.7696239806592944,21482.960927734377,488.19080851864527,0.4010882752727144,0.0,MOTOR_BLDC_001,Healthy,None
3.4174171024856443,2.666116231736588,21457.53916015625,521.544042026105,0.3887111260276924,0.0,MOTOR_BLDC_001,Healthy,None
3.3791279662654095,2.637823449024466,21520.40359375,531.6222964351363,0.3964816020406049,0.0,MOTOR_BLDC_001,Healthy,None
3.326174154779266,2.7391713107535347,21457.64341796875,561.1881408782094,0.3994590649881263,0.0,MOTOR_BLDC_001,Healthy,None
3.326444229976254,2.6269896115084244,21472.990263671876,579.2782055228541,0.41148620012758047,0.0,MOTOR_BLDC_001,Healthy,None
3.367059884086746,2.6731692133065703,21445.483701171877,564.6243826299278,0.4134888340112669,0.0,MOTOR_BLDC_001,Healthy,None
3.2552296514720642,2.6785607444925987,21434.593876953124,563.3100352110212,0.41443066236015325,0.0,MOTOR_BLDC_001,Healthy,None
3.373410360354776,2.7623902753691842,21488.66353515625,565.4215732511931,0.4210103693296905,0.0,MOTOR_BLDC_001,Healthy,None
3.3178424285773236,2.6191502441429346,21549.978369140626,508.69022381068316,0.4006476213193778,0.0,MOTOR_BLDC_001,Healthy,None
3.3353726267501584,2.6873252497848763,21640.931982421876,506.8667958896741,0.3876258261389014,0.0,MOTOR_BLDC_001,Healthy,None
3.309401219079367,2.5837233820557315,21679.79319335938,498.26732806403425,0.42925091966880136,0.0,MOTOR_BLDC_001,Healthy,None
3.2379236005401095,2.81198221585505,21687.12033203125,488.3438914719582,0.44662879829558344,0.0,MOTOR_BLDC_001,Healthy,None
3.34877876907702,2.7290637329478242,21709.453037109375,494.45268258458515,0.3837457332790377,0.0,MOTOR_BLDC_001,Healthy,None
3.3473759695658907,2.67286835177433,21852.94744140625,495.6864926406835,0.3914908213815024,0.0,MOTOR_BLDC_001,Healthy,None
0.0923369062749966,8.0020643029294,97.70236328125,1.4053073510229817,1.4603228722684265,0.0,MOTOR_BLDC_001,Healthy,None
0.21431187048799355,1.8231472549213519,97.66073242187501,1.4709027941928874,0.9668481123636993,0.0,MOTOR_BLDC_001,Healthy,None
0.21151371483369585,1.6636142171450894,97.69493164062501,1.4232118698833962,1.09561362505271,0.0,MOTOR_BLDC_001,Healthy,None
0.2501247171882459,18.543598404973938,97.77694335937501,1.4091711786913386,2.926505733509278,0.0,MOTOR_BLDC_001,Healthy,None
5.322835829674759,1.6553164441301629,7230.489423828125,5509.197291875342,0.8538396454408583,0.0,MOTOR_BLDC_001,Healthy,None
6.16697827405804,2.0426482221872804,21032.482763671876,1641.4387474039304,0.6002370879184604,0.0,MOTOR_BLDC_001,Healthy,None
3.378237513382385,2.701839910346484,21797.38169921875,462.3542880484619,0.37599933786979545,0.0,MOTOR_BLDC_001,Healthy,None
3.4330944809463264,2.4561800913791947,21747.691484375,437.7606840457857,0.3714301266936535,0.0,MOTOR_BLDC_001,Healthy,None
3.334478445762705,2.6490678449766256,21789.635966796875,426.26658941925064,0.3687680170210283,0.0,MOTOR_BLDC_001,Healthy,None
3.303957880869133,2.685023881858329,21809.292246093748,402.4009267997416,0.34174951502409107,0.0,MOTOR_BLDC_001,Healthy,None
3.207129953605219,2.8108327071671266,21696.07748046875,409.0339980047259,0.3896131168288386,0.0,MOTOR_BLDC_001,Healthy,None
3.379308565385778,2.650753126229695,21664.435927734376,400.2643339862346,0.3873051927259118,0.0,MOTOR_BLDC_001,Healthy,None
3.381676568528398,2.605566632959225,21664.583466796874,411.77018127672255,0.3850327156929608,0.0,MOTOR_BLDC_001,Healthy,None
3.384562501176195,2.7427401394807323,21610.3408984375,434.40730469124793,0.3699261743992258,0.0,MOTOR_BLDC_001,Healthy,None
3.255663351740068,2.6040302042959453,21535.6819921875,480.018895042058,0.37491525783638074,0.0,MOTOR_BLDC_001,Healthy,None
3.2880302825584176,2.683873081760303,21564.66537109375,512.3437918575188,0.42733402768631723,0.0,MOTOR_BLDC_001,Healthy,None
3.2797614411963525,2.963465234591611,21555.104404296875,516.7782000131438,0.39608655537857085,0.0,MOTOR_BLDC_001,Healthy,None
