timestamp_ms,ax,ay,az,acs_adc
23116,-8.8358,-2.8287,20.0526,1543
23121,-13.5596,-0.8475,6.2165,1549
23126,-2.2098,6.9707,3.0143,1542
23131,14.7124,6.1363,14.1701,1556
23136,2.4122,-6.1339,18.0391,1545
23141,-11.3114,-1.658,8.7999,1567
23146,-10.1359,5.2122,3.4129,1523
23151,11.7627,8.6814,11.0672,1527
23156,11.8812,-5.3032,15.0188,1541
23161,-12.1194,-0.8176,14.9231,1533
23166,-14.5759,2.2338,4.81,1544
23171,6.1878,7.9655,5.8407,1541
23176,15.0595,-0.2119,14.4155,1544
23181,-9.6582,-2.2314,19.818,1541
23186,-14.267,-0.6009,6.031,1532
23191,-1.2629,6.8378,3.1065,1541
23196,14.868,5.764,14.5316,1500
23201,1.2617,-5.8311,18.4737,1549
23206,-11.1869,-1.5622,8.278,1547
23211,-9.493,5.5234,3.1149,1527
23216,12.2583,8.4013,11.4718,1547
23221,10.9439,-5.5294,15.5731,1543
23226,-11.9004,-0.8487,13.9893,1541
23231,-14.5603,2.8754,4.4233,1549
23236,6.6032,7.9308,6.3602,1546
23241,15.2092,-0.7673,14.7686,1547
23246,-10.2101,-2.0207,19.5522,1531
23251,-14.0516,-0.1844,5.8562,1549
23256,-0.6776,7.2018,2.9437,1527
23261,15.1733,4.8746,15.1613,1549
23266,-0.3388,-5.4444,18.8723,1545
23271,-12.2404,-1.3886,7.835,1548
23276,-8.0589,5.8275,2.7138,1543
23281,12.1494,8.0278,12.1398,1531
23286,10.963,-5.9616,15.9813,1547
23291,-11.5568,-0.6644,13.1944,1556
23296,-14.1725,3.4058,4.2306,1545
23301,7.4053,7.8171,6.2728,1533
23306,15.0021,-1.7119,15.7443,1531
23311,-11.0169,-1.7442,18.7705,1547
23316,-16.4972,0.7781,5.205,1557
23321,0.5339,6.9396,3.456,1544
23326,15.6198,4.6878,15.4486,1523
23331,-0.8236,-5.9185,19.4289,1529
23336,-11.1725,-1.0092,7.2077,1545
23341,-7.9188,6.195,2.5355,1533
23346,13.2148,7.6614,12.2607,1533
23351,9.2081,-6.268,16.9809,1565
23356,-13.2747,-1.4676,11.9183,1549
23361,-12.0416,3.9157,3.1316,1555
23366,7.0054,8.2265,8.1295,1548
23371,16.8193,-2.0566,14.8429,1541
23376,-12.0165,-2.1656,19.5127,1555
23381,-14.6537,0.5183,5.3714,1532
23386,1.075,7.428,2.7581,1545
23391,15.6784,4.0917,15.6377,1543
23396,-4.0115,-4.956,20.0874,1565
23401,-15.8089,-1.6819,6.8989,1555
23406,-4.8554,5.7784,2.6683,1544
23411,12.9646,9.0381,13.374,1528
23416,10.6374,-7.2975,16.5212,1555
23421,-10.884,-0.8176,11.5688,1531
23426,-13.5608,3.4524,3.899,1559
23431,8.7293,8.5281,6.7373,1527
23436,14.522,-2.5438,15.5922,1533
23441,-12.9814,-1.9225,18.1947,1533
23446,-15.9993,1.1181,4.5322,1531
23451,2.0363,7.106,4.6424,1541
23456,16.3608,4.3814,14.3712,1548
23461,-3.5578,-6.0729,20.8571,1561
23466,-11.4946,-1.1181,6.6283,1540
23471,-6.4129,6.0621,2.4517,1557
23476,13.7714,8.3103,12.6976,1530
23481,7.525,-6.3746,17.5244,1556
23486,-13.1789,-2.1296,10.9463,1544
23491,-11.3222,3.9289,3.0047,1559
23496,8.0445,9.1123,9.165,1530
23501,16.3249,-2.9437,14.2479,1531
23506,-12.3373,-1.907,18.992,1547
23511,-15.0404,0.6369,5.4492,1533
23516,2.247,7.7548,3.1376,1553
23521,15.6988,3.31,15.2283,1526
23526,-5.4456,-4.5131,20.6141,1551
23531,-16.2901,-1.646,6.5637,1548
23536,-4.2341,5.867,2.6228,1547
23541,13.3357,8.9854,13.5811,1548
23546,9.2596,-7.3119,16.9964,1545
23551,-10.386,-1.0546,10.7727,1533
23556,-13.0795,3.8523,3.7948,1547
23561,9.6199,8.7197,7.4663,1549
23566,14.1485,-3.3028,15.5922,1512
23571,-13.1023,-1.7083,17.4609,1553
23576,-15.8664,1.4904,4.3467,1543
23581,2.5845,7.3191,4.9775,1557
23586,16.7271,3.699,14.2287,1543
23591,-5.0661,-5.7317,21.1695,1573
23596,-11.8429,-0.9744,6.4308,1544
23601,-5.3367,6.2417,2.3906,1549
23606,13.9738,8.1139,13.0544,1543
23611,6.189,-6.377,18.0331,1559
23616,-13.8744,-2.5414,10.2292,1547
23621,-9.7348,4.3395,2.9664,1543
23626,8.7879,9.5158,9.9862,1532
23631,16.0364,-3.638,14.1425,1527
23636,-12.785,-1.8567,18.3312,1549
23641,-15.3504,0.9026,5.2241,1547
23646,3.2717,7.8111,3.4488,1563
23651,15.2032,3.0634,14.935,1525
23656,-7.5058,-4.0067,20.8978,1548
23661,-16.0028,-1.6783,6.3422,1531
23666,-2.9269,6.0525,3.0634,1555
23671,13.7487,8.8143,13.623,1525
23676,7.7776,-7.6243,17.4274,1543
23681,-10.2687,-1.3036,9.9383,1547
23686,-12.3433,3.8439,3.5901,1546
23691,10.3011,9.3805,8.3534,1541
23696,13.3513,-3.7098,14.9973,1532
23701,-12.5444,-1.7909,17.1461,1553
23706,-16.3572,1.2929,4.5047,1544
23711,3.4644,7.9308,5.4336,1549
23716,16.0196,2.8347,13.55,1527
23721,-6.3566,-4.6627,21.3826,1605
23726,-12.2966,-1.4916,6.5541,1549
23731,-4.6172,6.5194,2.563,1549
23736,14.619,7.8195,13.4351,1548
23741,4.9249,-6.4153,17.9445,1555
23746,-11.3485,-2.2146,9.7432,1543
23751,-11.8561,4.1599,3.2334,1523
23756,9.7097,9.8521,10.0545,1555
23761,14.0576,-4.13,14.0671,1528
23766,-12.0273,-1.4018,17.3053,1559
23771,-15.2056,0.8882,5.4085,1546
23776,4.1635,8.4731,4.5897,1557
23781,15.1649,1.3731,14.1773,1543
23786,-7.3071,-3.5135,20.5674,1567
23791,-13.1226,-1.4593,6.4883,1531
23796,-4.2234,6.7325,2.715,1547
23801,14.1054,7.4819,13.9546,1545
23806,5.1164,-6.5733,17.4334,1545
23811,-11.1701,-1.5802,9.584,1553
23816,-11.3713,4.6603,3.5422,1542
23821,10.404,9.0477,10.0628,1553
23826,13.4087,-4.3215,14.613,1541
23831,-12.1733,-1.0678,16.5439,1565
23836,-15.0978,1.4006,5.1631,1528
23841,4.6412,8.175,4.9847,1567
23846,15.1996,1.1432,14.3832,1531
23851,-7.7381,-3.4285,20.2502,1565
23856,-13.6553,-1.1827,6.2668,1549
23861,-3.304,6.6738,2.873,1545
23866,14.139,6.9803,14.0995,1551
23871,4.4999,-6.4751,17.8452,1543
23876,-11.0409,-1.4736,9.2021,1555
23881,-10.8314,4.9093,3.3291,1529
23886,10.8972,8.7855,10.3202,1553
23891,13.0233,-4.883,15.0021,1545
23896,-12.3541,-0.9744,15.7981,1567
23901,-15.0511,1.8699,4.7166,1531
23906,4.889,7.9763,5.5031,1561
23911,15.457,0.7709,14.4682,1525
23916,-8.5916,-3.207,20.3172,1543
23921,-13.5488,-0.905,6.0358,1531
23926,-2.6552,6.924,2.9293,1547
23931,14.6214,6.4584,14.2814,1548
23936,2.9939,-6.3291,18.2881,1541
23941,-11.3425,-1.6077,8.6538,1560
23946,-9.9311,5.0434,3.1077,1528
23951,11.1091,8.934,10.9654,1559
23956,12.7132,-5.2696,15.0811,1544
23961,-11.9267,-0.9565,15.0787,1565
23966,-14.8177,1.9788,4.7357,1543
23971,5.6647,8.1139,5.5713,1533
23976,15.3911,0.1317,14.6896,1531
23981,-9.6594,-2.66,20.2406,1554
23986,-15.4282,-0.7446,5.861,1554
23991,-1.5347,6.6714,3.1137,1532
23996,14.7794,6.505,14.3796,1561
24001,2.5283,-6.517,18.67,1531
24006,-10.7236,-1.4126,8.1798,1559
24011,-9.9084,5.1427,3.1268,1531
24016,12.1314,8.9148,11.0014,1547
24021,11.6418,-5.5869,15.7311,1524
24026,-12.1386,-1.0235,14.1402,1533
24031,-15.0619,2.7294,4.0019,1543
24036,5.7628,8.1858,6.4153,1545
24041,15.9633,-0.1281,14.4646,1544
24046,-9.9204,-2.8335,20.3148,1549
24051,-13.8445,-0.5483,5.8909,1557
24056,-1.4569,7.2053,2.7773,1529
24061,15.2331,5.5629,14.7136,1553
24066,0.4453,-5.9759,19.0602,1531
24071,-12.3146,-1.8723,7.9523,1563
24076,-8.5473,5.2696,2.7617,1533
24081,11.6274,9.1447,11.9423,1544
24086,12.0979,-5.9675,15.4199,1529
24091,-11.7172,-0.9553,14.0456,1559
24096,-14.552,2.4529,4.5729,1532
24101,7.0521,8.4946,6.1447,1532
24106,15.0392,-1.0798,14.6812,1528
24111,-10.8397,-2.2386,19.7917,1549
24116,-15.5132,-0.3412,5.6743,1551
24121,-0.346,6.8714,3.3148,1543
24126,14.8393,5.6587,14.6465,1555
24131,0.1951,-5.9891,19.1309,1529
24136,-11.145,-1.6209,7.6746,1543
24141,-8.7101,5.6479,2.9473,1525
24146,12.6809,8.6179,11.9566,1531
24151,10.4028,-5.9352,15.8819,1545
24156,-11.7364,-1.0918,13.1226,1555
24161,-14.2826,3.043,4.0725,1547
24166,7.033,8.3282,7.0533,1549
24171,15.2774,-1.3252,14.4909,1533
24176,-11.1007,-2.0279,19.581,1549
24181,-14.4646,-0.1317,5.6443,1553
24186,0.0587,7.2425,3.2729,1519
24191,15.1457,4.7262,14.9087,1555
24196,-1.4138,-5.436,19.4708,1547
24201,-12.3254,-1.5969,7.3322,1545
24206,-7.361,5.7533,2.6839,1525
24211,12.5181,8.5856,12.5935,1546
24216,10.4483,-6.426,16.0364,1544
24221,-11.4419,-0.9074,12.4929,1549
24226,-13.8193,3.1903,4.1468,1555
24231,7.8542,8.3773,7.021,1541
24236,14.8824,-2.0051,14.9386,1531
24241,-11.6382,-1.6735,19.0219,1545
24246,-16.1273,0.322,5.2625,1542
24251,0.9697,7.0282,3.729,1547
24256,15.4462,4.6352,14.7196,1530
24261,-1.986,-5.5761,19.8216,1547
24266,-11.3282,-1.4772,7.1407,1541
24271,-7.4986,5.9544,2.7797,1549
24276,13.623,8.3617,12.6881,1533
24281,8.7209,-6.3422,16.6517,1555
24286,-11.5532,-1.3324,11.6849,1543
24291,-13.4494,3.6332,3.547,1561
24296,7.8913,8.667,8.0337,1543
24301,15.3397,-2.2901,14.5352,1528
24306,-11.661,-1.7358,18.9465,1543
