file,iteration,window,start_time_s,load_A,load_voltage_V,psu_current_A,load_power_W,supply_voltage_V,ax_mean,ax_std,ax_rms,ax_peak,ax_p2p,ax_crest,ay_mean,ay_std,ay_rms,ay_peak,ay_p2p,ay_crest,az_mean,az_std,az_rms,az_peak,az_p2p,az_crest,acc_mag_rms,acc_mag_std,acc_mag_peak,acc_mag_p2p,acs_mean,acs_std,acs_rms,acs_min,acs_max,acs_p2p,rpm_mean,rpm_median,rpm_std,rpm_min,rpm_max,rpm_p2p,rpm_cv_percent,rpm_valid_fraction,rpm_zero_fraction,dominant_frequency_Hz,dominant_amplitude,spectral_energy,spectral_centroid_Hz
healthy_cc_09A_3.csv,3,2,2.0,0.9,8.76,1.61,7.85,12.0,-0.9316679999999999,2.261926857521259,2.261926857521259,3.6927319999999995,7.2688,1.6325603048220105,1.5444470000000001,1.6770240536709662,1.6770240536709662,2.929447,5.266,1.7468127505908515,10.807679,0.9794335403481953,0.9794335403481953,1.5456789999999998,3.009499999999999,1.578135663447364,2.9812770494078538,0.8335325671397557,4.0034713022918,3.0777302370505515,1506.07,21.042697070480298,1506.2169963189235,1483,1565,82,2819.07445,2819.55,1.3627911422884889,2816.9,2821.27,4.369999999999891,0.04834179325375705,1.0,0.0,94.0,53.6636699844833,5266.825399360708,64.45295094513679
healthy_cc_09A_3.csv,3,3,3.0,0.9,8.76,1.61,7.85,12.0,-0.9306039999999999,2.164580170560564,2.164580170560564,3.6135960000000003,7.1096,1.6694211880653897,1.5432474999999999,1.6630547795529016,1.6630547795529016,2.9618475,5.2637,1.780968093423999,10.8121555,0.9785419227962335,0.9785419227962336,1.5465555000000002,2.9951000000000008,1.580469332964947,2.8997763377970203,0.8012692379775664,3.985338023324057,3.0847178555771304,1507.51,21.263111249297456,1507.6599483968525,1485,1564,79,2820.3277499999995,2820.34,0.6298876387896135,2818.89,2821.94,3.050000000000182,0.022333845376290528,1.0,0.0,94.0,50.399794412042176,4780.173953675513,61.2984790846097
healthy_cc_09A_3.csv,3,4,4.0,0.9,8.76,1.61,7.85,12.0,-0.9270410000000001,2.1695746340743844,2.1695746340743844,3.693759,7.2233,1.7025268188461677,1.5506830000000003,1.6644827291416993,1.6644827291416993,2.9476830000000005,5.2876,1.7709303607613829,10.8075345,0.9775322406753395,0.9775322406753395,1.5587345,3.0191,1.5945607061748983,2.9039845264721627,0.7950363212071188,4.053057231875742,2.8665940258890363,1506.975,20.390546216322896,1507.112943677414,1482,1565,83,2821.21955,2821.54,0.9774652410699586,2819.15,2822.47,3.319999999999709,0.03464690442365461,1.0,0.0,94.0,50.77500623556737,4745.669317725633,62.2830289967203
healthy_cc_09A_3.csv,3,5,5.0,0.9,8.76,1.61,7.85,12.0,-0.9302824999999999,2.1120595876404034,2.1120595876404034,3.2741825,6.5314000000000005,1.550232066917166,1.5444735000000003,1.6556927016955016,1.6556927016955016,2.9031735000000003,5.1846,1.7534494758761838,10.809527000000001,0.9568676974749435,0.9568676974749435,1.4913270000000018,2.8862000000000005,1.55855088842003,2.849159492668408,0.7747603818015558,3.8482301939771606,2.974210775063886,1508.04,22.178557211865698,1508.2030798271167,1485,1564,79,2818.2978500000004,2818.22,0.9902408179326673,2816.77,2820.08,3.3099999999999454,0.0351361307653365,1.0,0.0,94.0,49.557275215449344,4568.0519889043235,62.94068399035317
healthy_cc_09A_3.csv,3,6,6.0,0.9,8.76,1.61,7.85,12.0,-0.9337274999999999,2.172154927230963,2.172154927230963,3.6044275,7.1694,1.6593786450558943,1.537076,1.662595978439741,1.662595978439741,2.883776,5.1822,1.7345019700494357,10.745853000000002,1.253279298197732,1.253279298197732,11.054753000000002,12.5564,8.820661935370032,3.008852175615936,0.9983968628834109,11.40903338775206,10.440887742024495,1507.915,19.61600813111577,1508.0425839478141,1489,1559,70,2822.6528000000003,2823.0,1.7541214781194425,2819.15,2824.86,5.710000000000036,0.062144429457262416,1.0,0.0,94.0,41.2664759025914,11256.408010374122,52.528525119369725
healthy_cc_09A_3.csv,3,7,7.0,0.9,8.76,1.61,7.85,12.0,-0.938905,2.1399828496917914,2.1399828496917914,3.4544949999999996,6.907299999999999,1.6142629369658403,1.5424759999999997,1.6501549641545792,1.650154964154579,2.9179759999999995,5.178699999999999,1.7683042280183432,10.81091,0.990031941100892,0.990031941100892,1.5465099999999996,3.0070999999999994,1.5620809145615213,2.8779682498420653,0.7831151226747506,3.9749502987460112,3.051253556248237,1508.71,20.7623673987337,1508.852855648953,1486,1564,78,2824.9421,2824.99,0.6358605114331352,2823.66,2826.06,2.400000000000091,0.022508798018661517,1.0,0.0,94.0,48.826738284585396,4363.253454625317,67.96871116821265
healthy_cc_09A_3.csv,3,8,8.0,0.9,8.76,1.61,7.85,12.0,-0.9266985,2.209006192713762,2.209006192713762,3.6833015000000002,7.3131,1.667402070736193,1.5456560000000001,1.655956434228872,1.655956434228872,2.927156,5.1703,1.7676527833071205,10.805392499999998,0.9871851838909202,0.9871851838909202,1.6020924999999977,3.0837000000000003,1.6228895309038815,2.9319677110782614,0.8102927998350428,4.050858102932575,3.10459211443119,1510.065,21.847672072786153,1510.2230381635688,1487,1565,78,111858.33020000003,2823.93,763241.02425764,2822.07,5454545.5,5451723.43,682.3282833678844,1.0,0.0,94.0,51.64787014173106,5093.074839491329,63.35792854479494
healthy_cc_09A_3.csv,3,9,9.0,0.9,8.76,1.61,7.85,12.0,-0.9258085,2.1562807435205995,2.1562807435205995,3.6602915,7.1742,1.6975022899957704,1.5387855000000001,1.657680088840953,1.657680088840953,2.8651855,5.1164,1.7284309073189945,10.8122885,0.9838609144171496,0.9838609144171496,1.5287884999999992,2.9484999999999992,1.5538664841723802,2.8923056928228124,0.7684059944435101,3.9382610254165162,2.9669895621711717,1509.975,20.9275984049771,1510.1200167536354,1487,1563,76,2823.17035,2823.195,0.6867156453001674,2821.94,2824.73,2.7899999999999636,0.024324272366354635,1.0,0.0,94.0,48.71997038487769,4389.199340088715,64.71095447038861
healthy_cc_09A_3.csv,3,10,10.0,0.9,8.76,1.61,7.85,12.0,-0.9366549999999998,2.1407594401928955,2.1407594401928955,3.626645,7.178999999999999,1.6940927279868574,1.5364954999999998,1.6545412182927781,1.6545412182927781,2.9454955,5.2589,1.780249091067843,10.816168500000002,0.9938558360032655,0.9938558360032655,1.579368500000001,3.0142999999999986,1.5891323900167869,2.882378713244063,0.7766774554997566,3.990597580054583,3.025801292210618,1509.525,21.350395195405635,1509.675980136135,1487,1564,77,2825.57495,2825.66,0.3983867436298444,2824.46,2826.32,1.8600000000001273,0.014099316092459142,1.0,0.0,94.0,48.66750202549793,4557.838439433777,63.2704849751572
healthy_cc_09A_3.csv,3,11,11.0,0.9,8.76,1.61,7.85,12.0,-0.9910495,2.4148243407129533,2.4148243407129533,13.722550499999999,17.414299999999997,5.682628863989565,1.5342645,1.6587958849990405,1.6587958849990405,2.9180645,5.2217,1.7591462134605473,10.760912000000001,1.2828251942708326,1.2828251942708329,11.377412000000001,12.9011,8.86902755793396,3.1982215157248723,1.3307741302560083,17.954934808493583,16.93831542954466,1509.875,21.700907239099475,1510.030941735963,1485,1567,82,2826.4537,2826.59,0.5488627424046708,2825.39,2827.52,2.130000000000109,0.019418777049299295,1.0,0.0,94.0,48.621095508122835,6427.2263682511075,56.824076924961844
