dataset_type,fault_id,file,iteration,segment,window,rpm_raw_mean,rpm_raw_median,rpm_mean,rpm_median,rpm_invalid_samples,rpm_valid_fraction
healthy,HEALTHY,healthy_cc_03A_1.csv,1,0,16,3005.855,3005.71,3005.855,3005.71,0,1.0
healthy,HEALTHY,healthy_cc_03A_1.csv,1,0,17,3004.6573,3004.51,3004.6573,3004.51,0,1.0
healthy,HEALTHY,healthy_cc_03A_1.csv,1,0,18,3006.863,3006.92,3006.863,3006.92,0,1.0
healthy,HEALTHY,healthy_cc_03A_1.csv,1,0,19,3006.2241000000004,3006.085,3006.2241000000004,3006.085,0,1.0
healthy,HEALTHY,healthy_cc_03A_1.csv,1,0,20,3010.51075,3010.69,3010.51075,3010.69,0,1.0
healthy,HEALTHY,healthy_cc_03A_1.csv,1,0,21,3007.143,3007.07,3007.143,3007.07,0,1.0
healthy,HEALTHY,healthy_cc_03A_2.csv,2,0,0,3933.17245,3001.2,3036.820625,3001.05,24,0.88
healthy,HEALTHY,healthy_cc_03A_2.csv,2,0,1,3455.9501,3001.8,3019.1933519553077,3001.8,21,0.895
healthy,HEALTHY,healthy_cc_03A_2.csv,2,0,2,5987.96495,2994.46,2994.416340206186,2994.31,6,0.97
healthy,HEALTHY,healthy_cc_03A_2.csv,2,1,3,6868.13365,2998.95,2998.22487012987,2998.65,46,0.77
healthy,HEALTHY,healthy_cc_03A_2.csv,2,1,4,2999.2740000000003,2998.95,2999.2740000000003,2998.95,0,1.0
healthy,HEALTHY,healthy_cc_03A_2.csv,2,1,5,3751.35565,3000.75,3029.200059171598,3000.6,31,0.845
healthy,HEALTHY,healthy_cc_03A_2.csv,2,1,6,2997.6812,2996.55,2997.6812,2996.55,0,1.0
healthy,HEALTHY,healthy_cc_03A_2.csv,2,1,7,9552.02055,2995.7349999999997,3003.7840112994345,2995.66,23,0.885
healthy,HEALTHY,healthy_cc_03A_2.csv,2,1,8,2993.4118999999996,2994.16,2993.4118999999996,2994.16,0,1.0
healthy,HEALTHY,healthy_cc_03A_2.csv,2,1,9,2991.2338,2991.03,2991.2338,2991.03,0,1.0
healthy,HEALTHY,healthy_cc_03A_2.csv,2,1,10,2992.0598,2992.22,2992.0598,2992.22,0,1.0
healthy,HEALTHY,healthy_cc_03A_2.csv,2,1,11,2994.2925,2993.71,2994.2925,2993.71,0,1.0
healthy,HEALTHY,healthy_cc_03A_2.csv,2,1,12,2995.5011000000004,2995.81,2995.5011000000004,2995.81,0,1.0
healthy,HEALTHY,healthy_cc_03A_2.csv,2,1,13,2990.0264,2990.13,2990.0264,2990.13,0,1.0
healthy,HEALTHY,healthy_cc_03A_2.csv,2,1,14,2991.77525,2991.92,2991.77525,2991.92,0,1.0
healthy,HEALTHY,healthy_cc_03A_2.csv,2,1,15,2991.02495,2991.03,2991.02495,2991.03,0,1.0
healthy,HEALTHY,healthy_cc_03A_2.csv,2,1,16,2992.7069499999993,2992.52,2992.7069499999993,2992.52,0,1.0
healthy,HEALTHY,healthy_cc_03A_2.csv,2,1,17,2993.3430000000003,2993.34,2993.3430000000003,2993.34,0,1.0
healthy,HEALTHY,healthy_cc_03A_2.csv,2,1,18,2995.3066000000003,2995.66,2995.3066000000003,2995.66,0,1.0
healthy,HEALTHY,healthy_cc_03A_2.csv,2,1,19,2986.68855,2985.82,2986.68855,2985.82,0,1.0
healthy,HEALTHY,healthy_cc_03A_3.csv,3,0,0,2996.8484,2996.7749999999996,2996.8484,2996.7749999999996,0,1.0
healthy,HEALTHY,healthy_cc_03A_3.csv,3,0,1,2996.4224,2996.7,2996.4224,2996.7,0,1.0
healthy,HEALTHY,healthy_cc_03A_3.csv,3,0,2,2998.0276,2998.2,2998.0276,2998.2,0,1.0
healthy,HEALTHY,healthy_cc_03A_3.csv,3,0,3,2995.9076,2996.1,2995.9076,2996.1,0,1.0
healthy,HEALTHY,healthy_cc_03A_3.csv,3,0,4,2997.01225,2997.15,2997.01225,2997.15,0,1.0
healthy,HEALTHY,healthy_cc_03A_3.csv,3,0,5,2999.2034999999996,2999.1,2999.2034999999996,2999.1,0,1.0
healthy,HEALTHY,healthy_cc_03A_3.csv,3,0,6,3000.4282499999995,3000.75,3000.4282499999995,3000.75,0,1.0
healthy,HEALTHY,healthy_cc_03A_3.csv,3,0,7,2998.69875,2998.35,2998.69875,2998.35,0,1.0
healthy,HEALTHY,healthy_cc_03A_3.csv,3,0,8,3000.8235,3000.9,3000.8235,3000.9,0,1.0
healthy,HEALTHY,healthy_cc_03A_3.csv,3,0,9,3001.1525,3000.9,3001.1525,3000.9,0,1.0
