timestamp_ms,ax,ay,az,acs_adc
1158766,-0.9266,1.4868,10.8828,1382
1158771,-0.8523,1.4509,10.9104,1383
1158776,-0.8188,1.4509,10.9463,1382
1158781,-0.8619,1.4473,10.8972,1385
1158786,-0.8727,1.4976,10.9547,1380
1158791,-0.899,1.4712,10.8733,1385
1158796,-0.8631,1.4629,10.8864,1375
1158801,-0.8643,1.4772,10.92,1384
1158806,-0.8308,1.4341,10.8649,1383
1158811,-0.832,1.5024,10.9523,1381
1158816,-0.8679,1.4676,10.8673,1383
1158821,-0.8272,1.506,10.9571,1381
1158826,-0.8547,1.4569,10.8816,1385
1158831,-0.8535,1.5347,10.9331,1379
1158836,-0.8978,1.4904,10.9307,1368
1158841,-0.8799,1.4964,10.8984,1383
1158846,-0.8308,1.403,10.969,1384
1158851,-0.8416,1.4317,10.8769,1381
1158856,-0.8475,1.5083,10.9235,1381
1158861,-0.8942,1.4485,10.9032,1385
1158866,-0.8691,1.488,10.9056,1378
1158871,-0.8559,1.4964,10.9379,1383
1158876,-0.8894,1.4389,10.9044,1383
1158881,-0.8464,1.5167,10.9547,1384
1158886,-0.8906,1.4569,10.8793,1379
1158891,-0.8176,1.5275,10.9331,1382
1158896,-0.8918,1.4952,10.9152,1379
1158901,-0.8523,1.5095,10.9271,1380
1158906,-0.905,1.4724,10.902,1381
1158911,-0.8308,1.4485,10.8912,1382
1158916,-0.8847,1.4653,10.9762,1383
1158921,-0.8727,1.4545,10.8852,1381
1158926,-0.8068,1.4928,10.9882,1380
1158931,-0.8679,1.488,10.9571,1383
1158936,-0.8571,1.5095,10.908,1379
1158941,-0.8871,1.5024,10.9451,1385
1158946,-0.8667,1.4557,10.8745,1379
1158951,-0.8236,1.4844,10.9559,1385
1158956,-0.8847,1.4617,10.9235,1381
1158961,-0.8499,1.5263,10.9331,1383
1158966,-0.8811,1.4641,10.8721,1381
1158971,-0.8308,1.5335,10.8996,1377
1158976,-0.8775,1.5,10.9331,1382
1158981,-0.8571,1.4916,10.9343,1385
1158986,-0.8607,1.4748,11.0145,1384
1158991,-0.8751,1.4449,10.8924,1380
1158996,-0.8128,1.482,10.914,1383
1159001,-0.8475,1.476,10.9511,1381
1159006,-0.8392,1.5203,10.9247,1381
1159011,-0.8511,1.482,10.9128,1382
1159016,-0.8308,1.488,10.8601,1381
1159021,-0.826,1.4653,10.9223,1383
1159026,-0.8547,1.4293,10.9044,1381
1159031,-0.8212,1.4784,10.9212,1383
1159036,-0.9194,1.4688,10.8685,1381
1159041,-0.8751,1.5227,10.92,1383
1159046,-0.8679,1.4772,10.896,1379
1159051,-0.9014,1.4952,10.9319,1383
1159056,-0.8595,1.4892,10.9786,1381
1159061,-0.8871,1.4437,10.89,1384
1159066,-0.8607,1.5095,10.9547,1379
1159071,-0.8667,1.47,10.8793,1385
1159076,-0.844,1.5203,10.969,1384
1159081,-0.9026,1.4964,10.9391,1381
1159086,-0.8715,1.4688,10.9571,1381
1159091,-0.8511,1.4653,10.9571,1384
1159096,-0.8571,1.4413,10.8804,1389
1159101,-0.8487,1.5191,10.9523,1382
1159106,-0.9242,1.4808,10.8661,1381
1159111,-0.8104,1.5311,10.9235,1381
1159116,-0.893,1.4952,10.9499,1385
1159121,-0.844,1.4928,10.9128,1383
1159126,-0.8416,1.4748,10.908,1385
1159131,-0.8775,1.4557,10.8613,1383
1159136,-0.8272,1.5395,10.9367,1387
1159141,-0.8571,1.4904,10.9044,1383
1159146,-0.832,1.5263,10.9092,1381
1159151,-0.8452,1.4748,10.8828,1383
1159156,-0.8308,1.4916,10.8601,1381
1159161,-0.8811,1.5119,10.9164,1384
1159166,-0.8344,1.4772,10.8948,1379
1159171,-0.8619,1.5119,10.9451,1383
1159176,-0.8787,1.4521,10.8745,1401
1159181,-0.8823,1.476,11.0073,1383
1159186,-0.8799,1.4653,10.8984,1385
1159191,-0.8942,1.5335,10.9415,1383
1159196,-0.8631,1.4892,10.9786,1383
1159201,-0.893,1.4629,10.9571,1383
1159206,-0.838,1.4605,11.0205,1381
1159211,-0.8571,1.4533,10.8769,1380
1159216,-0.8368,1.5131,10.9619,1382
1159221,-0.8942,1.4676,10.902,1381
1159226,-0.8607,1.4521,10.9223,1382
1159231,-0.8643,1.506,10.89,1381
1159236,-0.8727,1.4605,10.9068,1381
1159241,-0.8559,1.4988,10.9595,1383
1159246,-0.9098,1.4533,10.8685,1381
1159251,-0.832,1.4533,10.9319,1381
1159256,-0.8679,1.4748,10.9056,1383
1159261,-0.8009,1.5227,10.9259,1387
1159266,-0.8871,1.4772,10.9271,1383
1159271,-0.8248,1.4784,10.9032,1381
1159276,-0.8452,1.4772,10.9535,1385
1159281,-0.8607,1.4413,10.9271,1381
1159286,-0.8236,1.5048,10.9475,1383
1159291,-0.8511,1.4748,10.92,1384
