timestamp_ms,ax,ay,az,acs_adc
32966,-0.7769,1.0654,11.2695,1481
32971,-0.5291,1.5754,10.7248,1489
32976,-0.893,1.8495,10.4758,1470
32981,-1.0953,1.5431,11.0456,1493
32986,-0.7207,1.1396,11.2348,1487
32991,-0.6357,1.6137,10.5776,1493
32996,-1.0894,1.986,10.5022,1481
33001,-1.1444,1.4545,11.0995,1481
33006,-0.7123,1.2258,11.133,1479
33011,-0.7266,1.6735,10.4698,1485
33016,-1.1408,1.9513,10.5596,1495
33021,-1.0187,1.3431,11.1618,1489
33026,-0.589,1.2258,11.0732,1497
33031,-0.6704,1.7035,10.4327,1480
33036,-1.0738,1.8639,10.6374,1483
33041,-0.9098,1.2941,11.2755,1481
33046,-0.5459,1.2558,10.9894,1505
33051,-0.7697,1.822,10.4675,1493
33056,-1.1732,1.7909,10.7164,1495
33061,-0.9565,1.2198,11.2599,1480
33066,-0.6572,1.3324,10.8314,1485
33071,-0.9266,1.8603,10.3765,1491
33076,-1.1504,1.8064,10.8649,1478
33081,-0.8296,1.1768,11.2013,1485
33086,-0.5543,1.5155,10.7978,1491
33091,-0.929,1.8543,10.4303,1413
33096,-1.0822,1.6556,10.9798,1485
33101,-0.7386,1.0379,11.242,1485
33106,-0.559,1.5299,10.6554,1487
33111,-1.0008,1.8627,10.4387,1485
33116,-1.1217,1.6041,11.0433,1487
33121,-0.723,1.1768,11.2108,1494
33126,-0.6393,1.658,10.5105,1496
33131,-1.075,1.9405,10.495,1486
33136,-1.1241,1.4281,11.1007,1483
33141,-0.6919,1.142,11.1414,1495
33146,-0.6476,1.6484,10.5153,1483
33151,-1.0714,1.8759,10.6159,1501
33156,-1.0032,1.397,11.2025,1481
33161,-0.6105,1.2761,11.0672,1499
33166,-0.735,1.7729,10.4411,1484
33171,-1.1396,1.8316,10.6159,1487
33176,-0.9445,1.2989,11.3126,1478
33181,-0.5459,1.251,10.9774,1493
33186,-0.7973,1.8244,10.4507,1483
33191,-1.1839,1.7968,10.7631,1485
33196,-0.8751,1.257,11.2575,1497
33201,-0.5626,1.391,10.8158,1495
33206,-0.8942,1.8878,10.3513,1481
33211,-1.1708,1.7154,10.8661,1485
33216,-0.8164,1.0965,11.2013,1481
33221,-0.5842,1.5131,10.726,1483
33226,-0.9074,1.8914,10.3813,1483
33231,-1.1097,1.6855,11.0061,1494
33236,-0.723,1.1384,11.1953,1481
